City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
332,Hinganghat,20.5667,78.8333,89.76,36,23,8.93,IN,few clouds
333,La Rioja,42.25,-2.5,55.18,71,100,3.49,ES,light rain
334,Flin Flon,54.7682,-101.865,50.77,96,100,8.99,CA,overcast clouds
335,Half Moon Bay,37.4636,-122.4286,74.79,65,0,21.85,US,haze
336,Mitsamiouli,-11.3847,43.2844,78.39,71,5,6.24,KM,clear sky
337,Waipawa,-41.4122,175.5153,54.91,92,100,13.31,NZ,moderate rain
338,Kashi,39.4547,75.9797,60.01,63,40,4.47,CN,scattered clouds
339,Biak,-0.9131,122.8766,79.88,75,74,0.56,ID,broken clouds
340,Belmonte,-15.8631,-38.8828,74.48,88,8,3.04,BR,clear sky
341,La Ronge,55.1001,-105.2842,59.25,67,75,8.05,CA,broken clouds
342,Grindavik,63.8424,-22.4338,46.35,100,14,4.61,IS,fog
343,Opuwo,-18.0607,13.84,58.6,37,0,5.46,NA,clear sky
344,Haines Junction,60.7522,-137.5108,69.75,17,53,8.05,CA,broken clouds
345,Tura,25.5198,90.2201,73.51,88,6,3.62,IN,clear sky
346,Tuatapere,-46.1333,167.6833,52.63,64,100,5.1,NZ,overcast clouds
347,Nouadhibou,20.931,-17.0347,66.18,82,8,16.11,MR,clear sky
348,Vila Franca Do Campo,37.7167,-25.4333,56.19,78,14,10.07,PT,light rain
